provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,school_type,latitude,longitude
Gelderland,Confetti,Vederwolk,17,6846 DM,ARNHEM,0202,ARNHEM,0263890114,primary,51.9477148,5.83577259
Gelderland,Calluna-School,Sijsseltselaan,16,6711 JE,EDE,0228,EDE,0318614243,primary,52.04019999,5.68068677
Gelderland,De Lettertuin,De Ruyterstraat,1,6712 DR,EDE,0228,EDE,0318614643,primary,52.04685844,5.65896655
Gelderland,Prinsenakkerschool,Commandeursweg,87,6721 ZL,BENNEKOM,0228,EDE,0318415851,primary,52.00361948,5.66911691
Gelderland,Ericaschool,Kerklaan,1,6731 BA,OTTERLO,0228,EDE,0318595077,primary,52.10116776,5.77361974
Gelderland,Openbare Basisschool De Bongerd,Lindenhorst,1,6714 JV,EDE,0228,EDE,0318638129,primary,52.04629189,5.64390097
Gelderland,OBS Uniek,Nicolaas Maesstraat,7,6717 ST,EDE,0228,EDE,0318636179,primary,52.01789205,5.65398334
Gelderland,De Roedel,Edeseweg,216,6732 DC,HARSKAMP,0228,EDE,0318456417,primary,52.13092788,5.75083098
Gelderland,Montessorischool Ede,Prof. Oudpark,4,6716 EJ,EDE,0228,EDE,0318625366,primary,52.02395701,5.63859004
Gelderland,Openbare Basisschool De Kern,Kleine Houtplein,1,6718 GG,EDE,0228,EDE,0318504642,primary,52.05234712,5.64017831
Gelderland,K Norel-School,Vleerveld,17,8162 JA,EPE,0232,EPE,0578615019,primary,52.3471963,5.96962423
Gelderland,WG vd Hulstsch,Wachtelenbergweg,17,8162 XC,EPE,0232,EPE,0578613565,primary,52.35860287,5.98203606
Gelderland,Basisschool Anne de Vries,Hoofdstraat,155,8162 AE,EPE,0232,EPE,0578612776,primary,52.34387495,5.98375566
Gelderland,Chr Basisschool t Mozaiek,Westerenkweg,19,8172 VT,VAASSEN,0232,EPE,0578573250,primary,52.28418059,5.95634929
Gelderland,Christelijke Basisschool De Violier,Vlierstraat,33,8171 BA,VAASSEN,0232,EPE,0578573247,primary,52.29255896,5.97131308
